Volcano_Name,Country,Latitude,Longitude,Volcano_Type,Last_Eruption
"Ruiz, Nevado del",Colombia,4.892,-75.324,Stratovolcano,1595
Asamayama,Japan,36.406,138.523,Complex volcano,1596
Hekla,Iceland,63.983,-19.666,Stratovolcano,1597
Raung,Indonesia,-8.119,114.056,Stratovolcano,1597
Asamayama,Japan,36.406,138.523,Complex volcano,1598
Banda Api,Pacific Ocean,-4.523,129.881,Caldera,1598
Huaynaputina,Peru,-16.608,-70.85,Stratovolcano,1600
Hachijojima,Japan,33.137,139.766,Stratovolcano,1606
Gamalama,Indonesia,0.8,127.33,Stratovolcano,1608
Tengchong,China,25.23,98.5,Pyroclastic cone,1609
Banda Api,Pacific Ocean,-4.523,129.881,Caldera,1615
Fuego,Guatemala,14.473,-90.88,Stratovolcano,1617
Katla,Iceland,63.633,-19.083,Subglacial volcano,1625
Grimsvotn,Iceland,64.416,-17.316,Caldera,1629
Furnas,Portugal,37.77,-25.32,Stratovolcano,1630
Dama Ali,Ethiopia,11.28,41.63,Shield volcano,1631
Vesuvius,Italy,40.821,14.426,Complex volcano,1631
Hekla,Iceland,63.983,-19.666,Stratovolcano,1636
Raung,Indonesia,-8.119,114.056,Stratovolcano,1638
Hokkaido-Komagatake,Japan,42.063,140.677,Stratovolcano,1640
Tungurahua,Ecuador,-1.467,-78.442,Stratovolcano,1640
Kie Besi,Indonesia,0.32,127.4,Stratovolcano,1646
Santorini,Greece,36.404,25.396,Shield volcano,1650
San Salvador,El Salvador,13.734,-89.294,Stratovolcano,1659
Teon,Pacific Ocean,-6.976,129.144,Stratovolcano,1659
Teon,Pacific Ocean,-6.976,129.144,Stratovolcano,1660
Guagua Pichincha,Ecuador,-0.171,-78.598,Stratovolcano,1660
Katla,Iceland,63.633,-19.083,Subglacial volcano,1660
Long Island,Papua New Guinea,-5.358,147.12,Complex volcano,1660
Toya,Japan,42.544,140.839,Stratovolcano,1663
Unzendake,Japan,32.761,130.299,Complex volcano,1664
Io-Torishima,Japan,27.881,128.223,Complex volcano,1664
Etna,Italy,37.748,14.999,Stratovolcano,1669
Etna,Italy,37.748,14.999,Stratovolcano,1669
Ambae,Vanuatu,-15.389,167.835,Shield volcano,1670
Fayal,Portugal,38.576,-28.713,Stratovolcano,1672
Merapi,Indonesia,-7.54,110.446,Stratovolcano,1672
Gamkonora,Indonesia,1.38,127.53,Stratovolcano,1673
La Palma,Spain,28.57,-17.83,Stratovolcano,1677
Zukur,Yemen,14.02,42.75,Shield volcano,1679
Vesuvius,Italy,40.821,14.426,Complex volcano,1682
Grimsvotn,Iceland,64.416,-17.316,Caldera,1684
Vesuvius,Italy,40.821,14.426,Complex volcano,1690
Guntur,Indonesia,-7.143,107.841,Complex volcano,1690
Serua,Pacific Ocean,-6.312,130.017,Stratovolcano,1692
Etna,Italy,37.748,14.999,Stratovolcano,1693
Hekla,Iceland,63.983,-19.666,Stratovolcano,1693
Banda Api,Pacific Ocean,-4.523,129.881,Caldera,1694
Vesuvius,Italy,40.821,14.426,Complex volcano,1698
Ciremai,Indonesia,-6.895,108.408,Stratovolcano,1698
Cotopaxi,Ecuador,-0.677,-78.436,Stratovolcano,1698
Tenerife,Spain,28.271,-16.641,Stratovolcano,1706
Santorini,Greece,36.404,25.396,Shield volcano,1707
Fujisan,Japan,35.361,138.728,Stratovolcano,1707
Awu,Indonesia,3.689,125.447,Stratovolcano,1711
Bardarbunga,Iceland,64.633,-17.516,Stratovolcano,1712
Vesuvius,Italy,40.821,14.426,Complex volcano,1714
Kelud,Indonesia,-7.935,112.314,Stratovolcano,1716
Taal,Philippines,14.002,120.993,Stratovolcano,1716
Bardarbunga,Iceland,64.633,-17.516,Stratovolcano,1716
Kirishimayama,Japan,31.934,130.862,Shield volcano,1716
Kirishimayama,Japan,31.934,130.862,Shield volcano,1717
Bardarbunga,Iceland,64.633,-17.516,Stratovolcano,1717
Fuego,Guatemala,14.473,-90.88,Stratovolcano,1717
Pico,Portugal,38.47,-28.4,Stratovolcano,1718
Katla,Iceland,63.633,-19.083,Subglacial volcano,1721
Asamayama,Japan,36.406,138.523,Complex volcano,1721
Bardarbunga,Iceland,64.633,-17.516,Stratovolcano,1726
Oraefajokull,Iceland,64,-16.65,Stratovolcano,1727
Bardarbunga,Iceland,64.633,-17.516,Stratovolcano,1729
Krafla,Iceland,65.715,-16.728,Caldera,1729
Lanzarote,Spain,29.03,-13.63,Fissure vent,1730
Raung,Indonesia,-8.119,114.056,Stratovolcano,1730
Tseax River Cone,Canada,55.12,-128.9,Pyroclastic cone,1730
Vesuvius,Italy,40.821,14.426,Complex volcano,1737
Oshima-Oshima,Japan,41.51,139.367,Stratovolcano,1741
Cotopaxi,Ecuador,-0.677,-78.436,Stratovolcano,1742
Cotopaxi,Ecuador,-0.677,-78.436,Stratovolcano,1742
Taal,Philippines,14.002,120.993,Stratovolcano,1749
Grimsvotn,Iceland,64.416,-17.316,Caldera,1753
Taal,Philippines,14.002,120.993,Stratovolcano,1754
Katla,Iceland,63.633,-19.083,Subglacial volcano,1755
Sao Jorge,Portugal,38.65,-28.08,Fissure vent,1757
Kie Besi,Indonesia,0.32,127.4,Stratovolcano,1760
Klyuchevskoy,Russia,56.056,160.642,Stratovolcano,1762
Hekla,Iceland,63.983,-19.666,Stratovolcano,1766
Mayon,Philippines,13.257,123.685,Stratovolcano,1766
Cotopaxi,Ecuador,-0.677,-78.436,Stratovolcano,1768
Dempo,Indonesia,-4.016,103.121,Stratovolcano,1770
Gamalama,Indonesia,0.8,127.33,Stratovolcano,1772
Papandayan,Indonesia,-7.32,107.73,Stratovolcano,1772
Gamalama,Indonesia,0.8,127.33,Stratovolcano,1773
Gamalama,Indonesia,0.8,127.33,Stratovolcano,1775
Lokon-Empung,Indonesia,1.358,124.792,Stratovolcano,1775
Raikoke,Russia,48.292,153.25,Stratovolcano,1778
Vesuvius,Italy,40.821,14.426,Complex volcano,1779
Aira,Japan,31.593,130.657,Stratovolcano,1779
Aira,Japan,31.593,130.657,Stratovolcano,1780
Aogashima,Japan,32.458,139.759,Stratovolcano,1780
Aira,Japan,31.593,130.657,Stratovolcano,1780
Aira,Japan,31.593,130.657,Stratovolcano,1780
Aira,Japan,31.593,130.657,Stratovolcano,1781
Aogashima,Japan,32.458,139.759,Stratovolcano,1783
Asamayama,Japan,36.406,138.523,Complex volcano,1783
